year,state,rate,deaths,URL
2020,AL,14.2,654,/nchs/pressroom/states/alabama/al.htm
2020,AK,7.3,55,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,7.5,525,/nchs/pressroom/states/arizona/az.htm
2020,AR,13,371,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,6.1,2368,/nchs/pressroom/states/california/ca.htm
2020,CO,5.8,336,/nchs/pressroom/states/colorado/co.htm
2020,CT,4.6,152,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,9.9,86,/nchs/pressroom/states/delaware/de.htm
2020,FL,7.8,1530,/nchs/pressroom/states/florida/fl.htm
2020,GA,10.5,1093,/nchs/pressroom/states/georgia/ga.htm
2020,HI,3.3,46,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,2.5,42,/nchs/pressroom/states/idaho/id.htm
2020,IL,11.2,1353,/nchs/pressroom/states/illinois/il.htm
2020,IN,9.7,620,/nchs/pressroom/states/indiana/in.htm
2020,IA,3.6,106,/nchs/pressroom/states/iowa/ia.htm
2020,KS,7,195,/nchs/pressroom/states/kansas/ks.htm
2020,KY,9.5,404,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,19.9,873,/nchs/pressroom/states/louisiana/la.htm
2020,ME,1.6,21,/nchs/pressroom/states/maine/me.htm
2020,MD,11.4,649,/nchs/pressroom/states/maryland/md.htm
2020,MA,2.7,183,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,8.7,811,/nchs/pressroom/states/michigan/mi.htm
2020,MN,3.6,198,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,20.5,576,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,14,803,/nchs/pressroom/states/missouri/mo.htm
2020,MT,6.6,65,/nchs/pressroom/states/montana/mt.htm
2020,NE,4.1,76,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,7.3,217,/nchs/pressroom/states/nevada/nv.htm
2020,NH,0,14,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,4.3,362,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,10.8,216,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,4.7,875,/nchs/pressroom/states/newyork/ny.htm
2020,NC,8.6,884,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,4.4,30,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,9.1,1004,/nchs/pressroom/states/ohio/oh.htm
2020,OK,9,342,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,3.8,157,/nchs/pressroom/states/oregon/or.htm
2020,PA,8.5,994,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,3,29,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,12.7,622,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,6.5,52,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,11.5,753,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,7.6,2212,/nchs/pressroom/states/texas/tx.htm
2020,UT,2.9,95,/nchs/pressroom/states/utah/ut.htm
2020,VT,0,14,/nchs/pressroom/states/vermont/vt.htm
2020,VA,6.4,531,/nchs/pressroom/states/virginia/va.htm
2020,WA,4.2,322,/nchs/pressroom/states/washington/wa.htm
2020,WV,7,114,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,6.1,334,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,4.9,25,/nchs/pressroom/states/wyoming/wy.htm
